,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type,hrefs,Page #
34,"Feb. 21, 2023 - Feb. 25, 2023",J. Luis Correa,J. Luis Correa,D,CA-46,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025944.pdf,31
35,"Feb. 21, 2023 - Feb. 25, 2023",Janice Schakowsky,Jan Schakowsky,D,IL-9,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation ofNew York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025945.pdf,31
36,"Feb. 21, 2023 - Feb. 25, 2023",James Baird,James Baird,R,IN-4,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025946.pdf,31
37,"Feb. 19, 2023 - Feb. 25, 2023",John R. Curtis,John Curtis,R,UT-3,Columbia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025947.pdf,31
38,"Feb. 19, 2023 - Feb. 25, 2023",Earl Blumenauer,Earl Blumenauer,D,OR-3,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025942.pdf,31
39,"Feb. 17, 2023 - Feb. 24, 2023",Troy A. Carter,Troy Carter,D,LA-2,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026551.pdf,31
40,"Feb. 17, 2023 - Feb. 24, 2023",Sharice Davids,Sharice Davids,D,KS-3,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025927.pdf,31
41,"Feb. 17, 2023 - Feb. 24, 2023",Alma Adams,Alma Adams,D,NC-12,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025865.pdf,31
42,"Feb. 17, 2023 - Feb. 24, 2023",Lori Trahan,Lori Trahan,D,MA-3,Israel,J Street Education Fund,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025981.pdf,31
43,"Feb. 23, 2023 - Feb. 24, 2023",Arion Laws,Sara Jacobs,D,CA-51,"New York, NY","World Vision Inc, and Bill & Melinda Gates Foundation",Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025868.pdf,31
