,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type,hrefs,Page #
28,"Feb. 21, 2023 - Feb. 27, 2023",Lance Gooden,Lance Gooden,R,TX-5,Qatar,United States Qatar Business Council,Amendment,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026520.pdf,30
29,"Feb. 21, 2023 - Feb. 27, 2023",Jasmine Crockett,Jasmine Crockett,D,TX-30,Qatar,United States Qatar Business,Amendment,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026535.pdf,30
30,"Feb. 21, 2023 - Feb. 27, 2023",Dan Newhouse,Dan Newhouse,R,WA-4,Colombia,"Aspen Institute, Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025902.pdf,30
31,"Feb. 21, 2023 - Feb. 27, 2023",Lance Gooden,Lance Gooden,R,TX-5,Qatar,United States Qatar Business Council,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025912.pdf,30
32,"Feb. 18, 2023 - Feb. 26, 2023",Rebecca Walldorff,Lucy McBath,D,GA-7,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025926.pdf,30
33,"Feb. 17, 2023 - Feb. 26, 2023",Juan Vargas,Juan Vargas,D,CA-52,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025979.pdf,30
34,"Feb. 17, 2023 - Feb. 26, 2023",Diana Harshbarger,Diana Harshbarger,R,TN-1,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025928.pdf,30
35,"Feb. 18, 2023 - Feb. 26, 2023",Mark Takano,Mark Takano,D,CA-39,Japan,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025929.pdf,30
36,"Feb. 18, 2023 - Feb. 26, 2023",Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,D,NY-14,South Korea,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025932.pdf,30
37,"Feb. 18, 2023 - Feb. 26, 2023",Nicola Hawatmeh,Lisa McClain,R,MI-9,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025984.pdf,30
38,"Feb. 19, 2023 - Feb. 26, 2023",J. French Hill,French Hill,R,AR-2,South Korea,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025943.pdf,30
39,"Feb. 18, 2023 - Feb. 26, 2023",Maxwell Frost,Maxwell Frost,D,FL-10,South Korea,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025955.pdf,30
40,"Feb. 17, 2023 - Feb. 26, 2023",Rick Allen,Rick Allen,R,GA-12,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025987.pdf,30
41,"Feb. 17, 2023 - Feb. 26, 2023",Jeanette Whitener,Randy Weber,R,TX-14,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025875.pdf,30
42,"Feb. 17, 2023 - Feb. 26, 2023",Lawrence Cohen,Juan Vargas,D,CA-52,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025884.pdf,30
43,"Feb. 17, 2023 - Feb. 26, 2023",Randy Weber,Randy Weber,R,TX-14,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025888.pdf,30
44,"Feb. 17, 2023 - Feb. 26, 2023","Randy Weber, Sr.",Randy Weber,R,TX-14,Israel,U.S. Israel Education Association (USIEA),Amendment,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026654.pdf,30
45,"Feb. 18, 2023 - Feb. 26, 2023",Andrew Wright,Derek Kilmer,D,WA-6,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025949.pdf,30
46,"Feb. 17, 2023 - Feb. 26, 2023",Diana Harshbarger,Diana Harshbarger,R,TN-1,Israel,U.S. Israel Education Association (USIEA),Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025950.pdf,30
47,"Feb. 18, 2023 - Feb. 26, 2023",Kayla Williams,Gregory W. Meeks,D,NY-5,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025952.pdf,30
48,"Feb. 18, 2023 - Feb. 26, 2023",Maeve Healy,Grace Meng,D,NY-6,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025954.pdf,30
49,"Feb. 18, 2023 - Feb. 26, 2023",Maxwell Frost,Maxwell Frost,D,FL-10,Japan,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025955.pdf,30
0,"Feb. 14, 2023 - Feb. 26, 2023",Mark Takano,Mark Takano,D,CA-39,Japan,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025963.pdf,31
1,"Feb. 18, 2023 - Feb. 26, 2023",Jeffrey Hayden Haynes,Mike Johnson,R,LA-4,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025909.pdf,31
2,"Feb. 18, 2023 - Feb. 26, 2023",Jenifer Megan Bel Miller,Steve Scalise,R,LA-1,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025910.pdf,31
3,"Feb. 18, 2023 - Feb. 26, 2023",Margaret Reynolds,Jared Golden,D,ME-2,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025914.pdf,31
4,"Feb. 18, 2023 - Feb. 26, 2023",Patrick Stewart Hester,Elise Stefanik,R,NY-21,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025917.pdf,31
5,"Feb. 18, 2023 - Feb. 26, 2023",Steven Carlson,Chris Pappas,D,NH-1,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025920.pdf,31
6,"Feb. 18, 2023 - Feb. 26, 2023",Tom Moran,Maria Elvira Salazar,R,FL-27,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025922.pdf,31
7,"Feb. 18, 2023 - Feb. 26, 2023",William Stuart Burns,Bill Posey,R,FL-8,Israel,American Israel Education Foundation,Original,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025923.pdf,31
8,"Feb. 18, 2023 - Feb. 26, 2023",Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,D,NY-14,Japan,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025932.pdf,31
9,"Feb. 19, 2023 - Feb. 26, 2023",J. French Hill,French Hill,R,AR-2,Japan,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025943.pdf,31
10,"Feb. 17, 2023 - Feb. 25, 2023",Frank Pallone Jr.,Frank Pallone,D,NJ-6,Japan and South Korea,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025907.pdf,31
11,"Feb. 19, 2023 - Feb. 25, 2023",John R. Curtis,John Curtis,R,UT-3,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025947.pdf,31
12,"Feb. 15, 2023 - Feb. 25, 2023",Diana DeGette,Diana DeGette,D,CO-1,Japan,"United States Association of Former Members of Congress, and Sasakawa Peace Foundation USA",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025872.pdf,31
13,"Feb. 18, 2023 - Feb. 25, 2023",Chrissy Houlahan,Chrissy Houlahan,D,PA-6,Japan,U.S. Association of Former Members of Congress,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025966.pdf,31
14,"Feb. 21, 2023 - Feb. 25, 2023",James Himes,Jim Himes,D,CT-4,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025968.pdf,31
15,"Feb. 21, 2023 - Feb. 25, 2023",John Sarbanes,John Sarbanes,D,MD-3,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025878.pdf,31
16,"Feb. 21, 2023 - Feb. 25, 2023",Pete Sessions,Pete Sessions,R,TX-17,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025970.pdf,31
17,"Feb. 21, 2023 - Feb. 25, 2023",James A. Himes,Jim Himes,D,CT-4,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Amendment,https://disclosures-clerk.house.gov/gtimages/MT/2023/500026483.pdf,31
18,"Feb. 21, 2023 - Feb. 25, 2023",Linda Sanchez,Linda T. Sánchez,D,CA-38,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025953.pdf,31
19,"Feb. 21, 2023 - Feb. 25, 2023",Rick Larsen,Rick Larsen,D,WA-2,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025959.pdf,31
20,"Feb. 20, 2023 - Feb. 25, 2023",Robin Kelly,Robin Kelly,D,IL-2,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025960.pdf,31
21,"Feb. 17, 2023 - Feb. 25, 2023",Frank Pallone Jr.,Frank Pallone,D,NJ-6,Japan,Maureen and Mike Mansfield Foundation and Japan Economic Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025907.pdf,31
22,"Feb. 18, 2023 - Feb. 25, 2023",Guy Reschenthaler,Guy Reschenthaler,R,PA-14,Japan,United States Association of Former Members of Congress and Sasakawa Peace Foundation USA,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025908.pdf,31
23,"Feb. 18, 2023 - Feb. 25, 2023",Kathy Manning,Kathy Manning,D,NC-6,Japan,United States Association of Former Members of Congress and Sasakawa Peace Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025911.pdf,31
24,"Feb. 18, 2023 - Feb. 25, 2023",Larry Bucshon,Larry Bucshon,R,IN-8,Japan,United Slates Association of former Membe1 of Congress and Sasakawa Peace Foundation USA,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025919.pdf,31
25,"Feb. 18, 2023 - Feb. 25, 2023",Ted Lieu,Ted Lieu,D,CA-36,Japan,United States Association of Former Members of Congress and Sasakawa Peace Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025921.pdf,31
26,"Feb. 18, 2023 - Feb. 25, 2023",Chrissy Houlahan,Chrissy Houlahan,D,PA-6,Japan,United States Association of Former Members of Congress and Sasakawa Peace Foundation USA,Amendment,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025997.pdf,31
27,"Feb. 18, 2023 - Feb. 25, 2023",Ami Bera,Ami Bera,D,CA-6,Japan,United States Association of Former Members of Congress and Sasakawa Peace Foundation,Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025934.pdf,31
28,"Feb. 21, 2023 - Feb. 25, 2023",Beth Van Duyne,Beth Van Duyne,R,TX-24,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025936.pdf,31
29,"Feb. 21, 2023 - Feb. 25, 2023",Darin LaHood,Darin M. LaHood,R,IL-16,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025938.pdf,31
30,"Feb. 21, 2023 - Feb. 25, 2023",David Joyce,Dave Joyce,R,OH-14,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025939.pdf,31
31,"Feb. 21, 2023 - Feb. 25, 2023",Donald Norcross,Donald W. Norcross,D,NJ-1,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025940.pdf,31
32,"Feb. 20, 2023 - Feb. 25, 2023",Doug Lamborn,Doug Lamborn,R,CO-5,Colombia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025941.pdf,31
33,"Feb. 19, 2023 - Feb. 25, 2023",Earl Blumenauer,Earl Blumenauer,D,OR-3,Columbia,"Aspen Institute, Inc., Rockefeller Brothers Fund, and Carnegie Corporation of New York",Original,https://disclosures-clerk.house.gov/gtimages/MT/2023/500025942.pdf,31
